Genus,Species,Family,Diet_Inv,Diet_Vend,Diet_Vect,Diet_Vfish,Diet_Vunk,Diet_Scav,Diet_Fruit,Diet_Nect,Diet_Seed,Diet_PlantO,ForStrat_Value,Activity_Nocturnal,Activity_Crepuscular,Activity_Diurnal,BodyMass_Value
Tachyglossus,aculeatus,Tachyglossidae,100,0,0,0,0,0,0,0,0,0,G,1,1,0,3025
Zaglossus,attenboroughi,Tachyglossidae,100,0,0,0,0,0,0,0,0,0,G,1,0,0,8532.39
Zaglossus,bartoni,Tachyglossidae,100,0,0,0,0,0,0,0,0,0,G,1,0,0,7180
Zaglossus,bruijni,Tachyglossidae,100,0,0,0,0,0,0,0,0,0,G,1,0,0,10139.5
Ornithorhynchus,anatinus,Ornithorhynchidae,80,0,0,20,0,0,0,0,0,0,G,1,1,1,1484.25
Caluromys,philander,Didelphidae,20,0,0,0,10,0,20,0,10,40,Ar,1,1,0,229.25
Caluromys,derbianus,Didelphidae,20,0,0,0,10,0,20,0,10,40,Ar,1,1,0,297
Caluromys,lanatus,Didelphidae,20,0,0,0,10,0,20,la,10,40,Ar,1,1,0,325
Caluromysiops,irrupta,Didelphidae,20,0,0,0,0,0,20,40,0,20,Ar,1,0,0,250
Glironia,venusta,Didelphidae,40,0,0,0,20,0,20,0,20,0,Ar,1,0,0,114
Chironectes,minimus,Didelphidae,50,0,0,30,0,0,0,0,0,20,G,1,0,0,946
Didelphis,aurita,Didelphidae,20,0,0,0,30,30,0,0,0,20,S,1,0,0,1163.99
Didelphis,imperfecta,Didelphidae,50,0,0,0,0,0,50,0,0,0,S,1,0,0,1260.04
Didelphis,marsupialis,Didelphidae,20,0,0,0,30,30,0,0,0,20,S,1,0,0,1091.16
Didelphis,pernigra,Didelphidae,20,0,0,0,30,30,0,0,0,20,S,1,0,0,1260.04
Didelphis,virginiana,Didelphidae,20,0,0,0,30,30,0,0,0,20,S,1,0,0,2195.48
Didelphis,albiventris,Didelphidae,20,0,0,0,30,30,0,0,0,20,S,1,0,0,904
Gracilinanus,formosus,Didelphidae,50,0,0,0,0,0,30,20,0,0,S,1,1,0,18.9
Gracilinanus,emiliae,Didelphidae,50,0,0,0,0,0,30,20,0,0,S,1,1,0,7.6
Gracilinanus,microtarsus,Didelphidae,50,0,0,0,0,0,30,20,0,0,S,1,1,0,31
Gracilinanus,marica,Didelphidae,50,0,0,0,0,0,30,20,0,0,S,1,1,0,23.8
Gracilinanus,dryas,Didelphidae,50,0,0,0,0,0,30,20,0,0,S,1,1,0,18
Gracilinanus,aceramarcae,Didelphidae,50,0,0,0,0,0,30,20,0,0,S,1,1,0,20.5
Gracilinanus,agricolai,Didelphidae,50,0,0,0,0,0,30,20,0,0,S,1,1,0,18.9
Gracilinanus,agilis,Didelphidae,50,0,0,0,0,0,30,20,0,0,S,1,1,0,22
Gracilinanus,ignitus,Didelphidae,50,0,0,0,0,0,30,20,0,0,S,1,1,0,18.9
Hyladelphys,kalinowskii,Didelphidae,60,10,0,0,0,10,20,0,0,0,Ar,1,0,0,16.75
Lestodelphys,halli,Didelphidae,0,100,0,0,0,0,0,0,0,0,S,1,0,0,76
Lutreolina,crassicaudata,Didelphidae,20,40,20,20,0,0,0,0,0,0,S,1,0,0,537.3
Marmosa,murina,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ar,1,0,0,26
Marmosa,xerophila,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ar,1,0,0,46.2
Marmosa,tyleriana,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ar,1,0,0,32.4
Marmosa,rubra,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ar,1,0,0,63
Marmosa,quichua,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ar,1,0,0,38.23
Marmosa,mexicana,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ar,1,0,0,49.45
Marmosa,lepida,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ar,1,0,0,14
Marmosa,andersoni,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ar,1,0,0,47.4
Marmosa,robinsoni,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ar,1,0,0,56.67
Marmosops,handleyi,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ar,1,0,0,30.7
Marmosops,juninensis,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ar,1,0,0,31.57
