Family,Genus,CommonName,Species,Species (ITIS),IUCN,Pop_T,IUCN_Evaluation,IUCN&Pop_T_Refs,Realm,Realm_refs
Cercopithecidae,Allenopithecus,Allen_s_Swamp_Monkey,Allenopithecus_nigroviridis,Allenopithecus_nigroviridis,LC,NA,2008,227,M_Africa,976
Cheirogaleidae,Allocebus,Hairy_eared_Dwarf_Lemur,Allocebus_trichotis,Allocebus_trichotis,VU,D,2012,227,Madagascar,976
Cercopithecidae,Allochrocebus,L_Hoest_s_Monkey,Allochrocebus_lhoesti,Allochrocebus_lhoesti,VU,D,2008,227,M_Africa,976
Cercopithecidae,Allochrocebus,Preuss_s_Monkey,Allochrocebus_preussi,Allochrocebus_preussi,EN,D,2008,227,M_Africa,976
Cercopithecidae,Allochrocebus,Sun_tailed_Monkey,Allochrocebus_solatus,Allochrocebus_solatus,VU,NA,2008,227,M_Africa,976
Atelidae,Alouatta,Ursine_Red_Howler,Alouatta_arctoidea,Alouatta_arctoidea,LC,NA,2015,227,Neotropics,976
Atelidae,Alouatta,Red_handed_Howler,Alouatta_belzebul,Alouatta_belzebul,VU,D,2008,227,Neotropics,976
Atelidae,Alouatta,Paraguayan_Howler,Alouatta_caraya,Alouatta_caraya,LC,D,2008,227,Neotropics,976
Atelidae,Alouatta,Spix_s_Howler,Alouatta_discolor,Alouatta_discolor,VU,D,2008,227,Neotropics,976
Atelidae,Alouatta,Brown_Howler,Alouatta_guariba,Alouatta_guariba,LC,D,2008,227,Neotropics,976
Atelidae,Alouatta,Guianan_Red_Howler,Alouatta_macconnelli,Alouatta_macconnelli,LC,NA,2008,227,Neotropics,976
Atelidae,Alouatta,Amazon_Black_Howler,Alouatta_nigerrima,Alouatta_nigerrima,LC,NA,2015,227,Neotropics,976
Atelidae,Alouatta,Mantled_Howler,Alouatta_palliata,Alouatta_palliata,LC,NA,2008,227,Neotropics,976
Atelidae,Alouatta,Central_American_Black_Howler,Alouatta_pigra,Alouatta_pigra,EN,D,2008,227,Neotropics,976
Atelidae,Alouatta,Bolivian_Red_Howler,Alouatta_sara,Alouatta_sara,LC,D,2008,227,Neotropics,976
Atelidae,Alouatta,Colombian_Red_Howler,Alouatta_seniculus,Alouatta_seniculus,LC,NA,2008,227,Neotropics,976
Atelidae,Alouatta,Maranhão_Red_handed_Howler,Alouatta_ululata,Alouatta_ululata,EN,D,2008,227,Neotropics,976
Aotidae,Aotus,Azara_s_Night_Monkey,Aotus_azarae,Aotus_azarae,LC,D,2015,227,Neotropics,976
Aotidae,Aotus,Brumback_s_Night_Monkey,Aotus_brumbacki,Aotus_brumbacki,VU,D,2008,227,Neotropics,976
Aotidae,Aotus,Gray_legged_Night_Monkey,Aotus_griseimembra,Aotus_griseimembra,VU,D,2008,227,Neotropics,976
Aotidae,Aotus,Hernández_Camacho_s_Night_Monkey,Aotus_jorgehernandezi,Aotus_jorgehernandezi,DD,NA,2015,227,Neotropics,976
Aotidae,Aotus,Lemurine_Night_Monkey,Aotus_lemurinus,Aotus_lemurinus,VU,D,2008,227,Neotropics,976
Aotidae,Aotus,Andean_Night_Monkey,Aotus_miconax,Aotus_miconax,VU,D,2008,227,Neotropics,976
Aotidae,Aotus,Ma_s_Night_Monkey,Aotus_nancymaae,Aotus_nancymaae,VU,NA,2017,227,Neotropics,976
Aotidae,Aotus,Black_headed_Night_Monkey,Aotus_nigriceps,Aotus_nigriceps,LC,NA,2015,227,Neotropics,976
Aotidae,Aotus,Humboldt_s_Night_Monkey,Aotus_trivirgatus,Aotus_trivirgatus,LC,NA,2015,227,Neotropics,976
Aotidae,Aotus,Spix_s_Night_Monkey,Aotus_vociferans,Aotus_vociferans,LC,D,2015,227,Neotropics,976
Aotidae,Aotus,Panamanian_Night_Monkey,Aotus_zonalis,Aotus_zonalis,DD,NA,2008,227,Neotropics,976
Lorisidae,Arctocebus,Golden_Angwantibo,Arctocebus_aureus,Arctocebus_aureus,LC,NA,2008,227,M_Africa,976
Lorisidae,Arctocebus,Calabar_Angwantibo,Arctocebus_calabarensis,Arctocebus_calabarensis,LC,NA,2008,227,M_Africa,976
Atelidae,Ateles,White_bellied_Spider_Monkey,Ateles_belzebuth,Ateles_belzebuth,EN,D,2008,227,Neotropics,976
Atelidae,Ateles,Black_Spider_Monkey,Ateles_chamek,Ateles_chamek,EN,D,2008,227,Neotropics,976
Atelidae,Ateles,Brown_headed_Spider_Monkey,Ateles_fusciceps,Ateles_fusciceps,CR,D,2008,227,Neotropics,976
Atelidae,Ateles,Central_American_Spider_Monkey,Ateles_geoffroyi,Ateles_geoffroyi,EN,D,2008,227,Neotropics,976
Atelidae,Ateles,Variegated_Spider_Monkey,Ateles_hybridus,Ateles_hybridus,CR,D,2008,227,Neotropics,976
Atelidae,Ateles,White_whiskered_Spider_Monkey,Ateles_marginatus,Ateles_marginatus,EN,D,2008,227,Neotropics,976
Atelidae,Ateles,Red_faced_Black_Spider_Monkey,Ateles_paniscus,Ateles_paniscus,VU,D,2008,227,Neotropics,976
Indriidae,Avahi,Betsileo_Woolly_Lemur,Avahi_betsileo,Avahi_betsileo,EN,D,2012,227,Madagascar,976
Indriidae,Avahi,Bemaraha_Woolly_Lemur,Avahi_cleesei,Avahi_cleesei,EN,D,2012,227,Madagascar,976
Indriidae,Avahi,Eastern_Woolly_Lemur,Avahi_laniger,Avahi_laniger,VU,D,2012,227,Madagascar,976
Indriidae,Avahi,Southern_Woolly_Lemur,Avahi_meridionalis,Avahi_meridionalis,EN,D,2012,227,Madagascar,976
Indriidae,Avahi,Masoala_Woolly_Lemur,Avahi_mooreorum,Avahi_mooreorum,EN,D,2012,227,Madagascar,976
Indriidae,Avahi,Western_Woolly_Lemur,Avahi_occidentalis,Avahi_occidentalis,EN,D,2012,227,Madagascar,976
Indriidae,Avahi,Peyrieras_s_Woolly_Lemur,Avahi_peyrierasi,Avahi_peyrierasi,VU,D,2012,227,Madagascar,976
Indriidae,Avahi,Manombo_Woolly_Lemur,Avahi_ramanantsoavanai,Avahi_ramanantsoavanai,VU,D,2012,227,Madagascar,976
Indriidae,Avahi,Sambirano_Woolly_Lemur,Avahi_unicolor,Avahi_unicolor,EN,D,2012,227,Madagascar,976
Atelidae,Brachyteles,Southern_Muriqui,Brachyteles_arachnoides,Brachyteles_arachnoides,EN,D,2008,227,Neotropics,976
Atelidae,Brachyteles,Northern_Muriqui,Brachyteles_hypoxanthus,Brachyteles_hypoxanthus,CR,D,2008,227,Neotropics,976
Pitheciidae,Cacajao,Ayres_Black_Uakari,NA,Cacajao_ayresi,VU,D,2008,227,Neotropics,976
Pitheciidae,Cacajao,Bald_Uacari,Cacajao_calvus,Cacajao_calvus,VU,D,2008,227,Neotropics,976
Pitheciidae,Cacajao,Black_headed_Uacari,NA,Cacajao_hosomi,VU,D,2008,228,Neotropics,976
Pitheciidae,Cacajao,Black_headed_Uacari,Cacajao_melanocephalus,Cacajao_melanocephalus,LC,S,2015,227,Neotropics,976
Pitheciidae,Cacajao,Spix_s_Black_headed_Uacari,Cacajao_ouakary,NA,VU,D,NA,227,Neotropics,976
Callitrichidae,Callibella,Black_crowned_Dwarf_Marmoset,Callibella_humilis,NA,LC,S,2015,227,Neotropics,976
Pitheciidae,Callicebus,Blond_Titi,Callicebus_barbarabrownae,Callicebus_barbarabrownae,CR,D,2008,227,Neotropics,976
Pitheciidae,Callicebus,Coimbra_Filho_s_Titi,Callicebus_coimbrai,Callicebus_coimbrai,EN,D,2008,227,Neotropics,976
Pitheciidae,Callicebus,Southern_Bahian_Titi,Callicebus_melanochir,Callicebus_melanochir,VU,D,2008,227,Neotropics,976
Pitheciidae,Callicebus,Black_fronted_Titi,Callicebus_nigrifrons,Callicebus_nigrifrons,NT,D,2008,227,Neotropics,976
Pitheciidae,Callicebus,Masked_Titi,Callicebus_personatus,Callicebus_personatus,VU,D,2008,227,Neotropics,976
Callitrichidae,Callimico,Goeldi_s_Monkey*,Callimico_goeldii,Callimico_goeldii,VU,D,2008,227,Neotropics,976
Callitrichidae,Callithrix,Buffy_tufted_ear_Marmoset,Callithrix_aurita,Callithrix_aurita,VU,D,2008,227,Neotropics,976
Callitrichidae,Callithrix,Buffy_headed_Marmoset,Callithrix_flaviceps,Callithrix_flaviceps,EN,D,2008,227,Neotropics,976
Callitrichidae,Callithrix,Geoffroy_s_Tufted_ear_Marmoset,Callithrix_geoffroyi,Callithrix_geoffroyi,LC,S,2015,227,Neotropics,976
Callitrichidae,Callithrix,Common_Marmoset,Callithrix_jacchus,Callithrix_jacchus,LC,S,2015,227,Neotropics,976
Callitrichidae,Callithrix,Wied_s_Black_tufted_ear_Marmoset,Callithrix_kuhlii,Callithrix_kuhlii,NT,D,2008,227,Neotropics,976
Callitrichidae,Callithrix,Black_tufted_ear_Marmoset,Callithrix_penicillata,Callithrix_penicillata,LC,I,2015,227,Neotropics,976
Tarsiidae,Carlito,Philippine_Tarsier,Carlito_syrichta,Carlito_syrichta,NT,D,2008,227,Asia,976
Callitrichidae,Cebuella,Eastern_Pygmy_Marmoset,NA,Cebuella_niveiventris,LC,S,2008,228,Asia,976
Callitrichidae,Cebuella,Pygmy_Marmoset,Cebuella_pygmaea,Cebuella_pygmaea,LC,D,2008,227,Neotropics,976
Cebidae,Cebus,Ecuadorian_White_fronted_Capuchin,Cebus_aequatorialis,Cebus_aequatorialis,CR,D,2008,227,Neotropics,976
Cebidae,Cebus,Humboldt_s_White_fronted_Capuchin,Cebus_albifrons,Cebus_albifrons,LC,D,2008,227,Neotropics,976
Cebidae,Cebus,Venezuelan_Brown_Capuchin,Cebus_brunneus,Cebus_brunneus,LC,NA,2008,227,Neotropics,976
Cebidae,Cebus,Colombian_White_faced_Capuchin,Cebus_capucinus,Cebus_capucinus,LC,NA,2008,227,Neotropics,976
Cebidae,Cebus,Río_Cesar_White_fronted_Capuchin,Cebus_cesarae,Cebus_cesarae,DD,D,2008,227,Neotropics,976
Cebidae,Cebus,Shock_headed_Capuchin,Cebus_cuscinus,Cebus_cuscinus,NT,D,2008,227,Neotropics,976
Cebidae,Cebus,Panamanian_White_faced_Capuchin,Cebus_imitator,Cebus_imitator,LC,D,NA,227,Neotropics,976
Cebidae,Cebus,Ka_apor_Capuchin,Cebus_kaapori,Cebus_kaapori,CR,D,2008,227,Neotropics,976
Cebidae,Cebus,Sierra_de_Perijá_White_fronted_Capuchin,Cebus_leucocephalus,Cebus_leucocephalus,NE,NA,NA,227,Neotropics,976
Cebidae,Cebus,Santa_Marta_White_fronted_Capuchin,Cebus_malitiosus,Cebus_malitiosus,EN,D,2008,227,Neotropics,976
Cebidae,Cebus,Guianan_Weeper_Capuchin,Cebus_olivaceus,Cebus_olivaceus,LC,NA,,227,Neotropics,976
Cebidae,Cebus,Spix_s_White_fronted_Capuchin,Cebus_unicolor,Cebus_unicolor,LC,NA,NA,227,Neotropics,976
Cebidae,Cebus,Varied_White_fronted_Capuchin,Cebus_versicolor,Cebus_versicolor,EN,D,2008,227,Neotropics,976
Cebidae,Cebus,Marañón_White_fronted_Capuchin,Cebus_yuracus,Cebus_yuracus,NE,NA,NA,227,Neotropics,976
Tarsiidae,Cephalopachus,Western_Tarsier,Cephalopachus_bancanus,Cephalopachus_bancanus,VU,D,2008,227,Asia,976
