Genus,Species,Label,ForStrat_terrestrial,ForStrat_aquatic,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,female_maturity_d,male_maturity_d,weaning_d,litters_or_clutches_per_y,longevity_y,adult_svl_cm,infantMortalityRate_per_year,mortalityRateDoublingTime_y,metabolicRate_W,temperature_K,diet_breadth,development_d,mass_specific_production,log_litterclutch_size_n,log_inter_litterbirth_interval_y,log_birthhatching_weight_g,log_weaning_weight_g,log_adult_body_mass_g,log_female_body_mass_g,log_male_body_mass_g,tnc_ecoregion_breadth,log_range_size,X2.1_AgeatEyeOpening_d,X9.1_GestationLen_d,X10.2_SocialGrpSize,X24.1_TeatNumber,X6.2_TrophicLevel,X13.3_WeaningHeadBodyLen_mm,X26.2_GR_MaxLat_dd,X26.3_GR_MinLat_dd,X26.4_GR_MidRangeLat_dd,X26.5_GR_MaxLong_dd,X26.6_GR_MinLong_dd,X26.7_GR_MidRangeLong_dd,X27.4_HuPopDen_Change,X28.1_Precip_Mean_mm,X28.2_Temp_Mean_01degC,X30.1_AET_Mean_mm,X30.2_PET_Mean_mm,log_DispersalAge_d,log_HomeRange_km2,log_HomeRange_Indiv_km2,log_PopulationDensity_n.km2,log_PopulationGrpSize,log_HuPopDen_Min_n.km2,log_HuPopDen_Mean_n.km2,log_HuPopDen_5p_n.km2,log_NeonateHeadBodyLen_mm,log_WOS_hits,Family
Pan,troglodytes,1,1,0,0,0,1,3636.98,2920,1112.13144,0.2,59.35,86.8045,0.04,8,NA,308.85,0.3,229,0.008340376,0.072320662,1.294230104,7.464521296,9.047821442,10.71405103,9.402312616,10.69873996,17,14.6546084,0,231.49,50,2,2,NA,13.13,-8.72,2.2,31.18,-15.55,7.81,0.11,149.72,241.68,1297.08,1558.05,NA,2.38416508,2.525728644,0.488580015,3.80666249,-8.08E-02,3.536893097,0,5.771232542,8.753213481,Hominidae
Propithecus,verreauxi,0,1,0,0,0,1,943.94,912,177.83,1,19.4,51.1245,NA,NA,3.738,309.15,0.2,148,0.022069973,0.019802627,0.210885293,4.352082758,7.455274175,8.185422684,8.550440158,8.186128953,2,11.12479661,NA,149.77,6.3,2,1,NA,-19.68,-25.58,-22.63,46.68,43.22,44.95,0.2,58.13,235.37,800.46,1657.27,NA,-3.506557897,-2.995732274,5.010635294,2.014903021,0.693147181,2.678278043,1.098612289,4.721301492,5.786897381,Indriidae
Lepilemur,leucopus,0,1,0,1,0,0,627.52312,607.0821595,85.52516,1,12,35,NA,NA,NA,NA,0.1,133.45,0.046872603,0,0.282046112,3.468388631,5.492112163,6.528710558,7.108895323,6.757249493,1,7.577528887,NA,135.92,1,2,1,NA,-23.51,-25.48,-24.5,46.53,43.65,45.09,0.18,56.82,231.13,803.16,1741.51,5.899897354,-6.215275321,-6.146127825,6.224538627,0,1.945910149,2.894806355,2.079441542,4.454373764,2.63905733,Lepilemuridae
Lepilemur,septentrionalis,0,1,0,1,0,0,634.28624,626.0556054,85.52516,1,12,31.5,NA,NA,NA,NA,0.1,133.45,0.045,0,0.115866892,3.468388631,5.39751921,6.56948142,7.162937682,6.509744783,0,4.952677347,NA,134.99,1,2,1,NA,13.63878699,-0.355033272,6.215935993,35.63429684,14.9486052,25.26941828,NA,143.0309913,192.0584896,853.9819743,1371.842873,NA,-4.953355413,-4.605170186,5.038639491,NA,1.810031721,1.806774241,0.731171431,4.449289584,2.397895273,Lepilemuridae
Lepilemur,ruficaudatus,0,1,0,1,0,0,614.8072,596.8176311,102.42258,1,12,35,NA,NA,NA,NA,0.1,133.45,0.043465009,0,0.168963106,3.468388631,5.528225755,6.604187697,7.215494664,6.813602792,1,9.67534304,NA,135.92,1,2,1,NA,-19.6,-23.56,-21.58,45.22,43.22,44.22,0.21,57.89,238.61,789.13,1602.55,NA,-4.358577562,-2.7820045,5.560681631,NA,0.693147181,2.433613355,1.098612289,4.453914288,2.890371758,Lepilemuridae
Lepilemur,microdon,0,1,0,1,0,0,649.04812,635.5699083,80.86758,1,12,33.7495,NA,NA,NA,NA,0.1,133.37984,0.045,0,0.261764853,3.468388631,5.429027496,6.56948142,7.187108069,6.553529955,2,6.502065053,NA,133.0069452,1,2,2,NA,-17.8,-25.2,-21.5,49.21,46.56,47.88,0.19,183,197.15,1311.1,1556.51,NA,-3.380681595,-2.725323777,3.584906864,0,1.791759469,3.865350597,2.079441542,4.433864482,1.386294361,Lepilemuridae
Lepilemur,edwardsi,0,1,0,1,0,0,649.04812,635.5699083,80.86758,1,12,35,NA,NA,NA,NA,0.1,133.37984,0.045,0,0.201918365,3.468388631,5.470068437,6.56948142,7.198210109,6.761119574,1,9.112013277,NA,133.0004713,1,2,2,NA,-15.45,-19.17,-17.31,47.58,43.92,45.75,0.16,114.2,254.76,963.15,1571.21,NA,-4.786927342,-4.65358573,4.262398147,0,0.693147181,2.299580584,0.693147181,4.42834949,3.583518938,Lepilemuridae
Lepilemur,dorsalis,0,1,0,1,0,0,649.04812,636.9407002,80.86758,1,12,30.25,NA,NA,NA,NA,0.1,133.37984,0.047957491,0,0.237721204,3.468388631,5.327423435,6.505828902,7.088749897,6.462348545,1,9.164170667,NA,133.016677,1,2,1,NA,-13.19,-14.38,-13.79,49.07,47.86,48.46,0.18,133.28,201.61,1240.42,1623.73,NA,-3.236809859,-2.759989846,3.944283011,NA,2.079441542,3.136363403,2.079441542,4.419669318,1.791759469,Lepilemuridae
Lepilemur,mustelinus,0,1,0,1,0,0,649.04812,635.5699083,80.86758,1,12,35,NA,NA,NA,NA,0.1,133.37984,0.046431698,0,0.305620827,3.468388631,5.470068437,6.538161531,7.220691654,6.757249493,2,10.15657465,NA,133.45,1,2,1,NA,-13.87,-17.84,-15.86,50.48,48.48,49.48,0.18,173.61,198.75,1388.45,1668.67,NA,-5.901915293,-5.553730268,5.541655625,NA,1.609437912,3.317815773,2.079441542,4.454303233,2.48490665,Lepilemuridae
Avahi,laniger,0,1,0,1,0,0,873.92428,971.5308279,155.68694,1,16.78016485,36.25,NA,NA,NA,NA,0.2,136.556,0.030305665,0.004987542,-0.000684694,3.495598057,6.010890253,6.99700623,7.897975518,7.188814766,2,10.83339951,NA,136.15,2,2,1,NA,-14.08,-25.17,-19.63,50.45,46.57,48.51,0.18,176.9,197.46,1334.06,1600.05,NA,-4.605170186,-4.605170186,4.440884992,NA,1.609437912,3.688379329,2.079441542,4.499698553,3.465735903,Indriidae
